siteId,date,fishIbi
fish-10,7/1/1998,43
fish-12,7/1/1998,45
fish-20,7/1/1998,34
fish-26,7/1/1998,46
fish-29,7/1/1998,51
fish-30,7/1/1998,42
fish-31,7/1/1998,43
fish-32,7/1/1998,52
fish-56,7/1/1998,31
fish-57,7/1/1998,38
fish-63,7/1/1998,48
fish-76,7/1/1998,48
fish-80,7/1/1998,46
fish-81,7/1/1998,53
fish-82,7/1/1998,53
fish-91,7/1/1998,36
fish-92,7/1/1998,44
fish-10,7/1/1999,39
fish-12,7/1/1999,47
fish-20,7/1/1999,26
fish-26,7/1/1999,45
fish-29,7/1/1999,50
fish-30,7/1/1999,46
fish-31,7/1/1999,43
fish-32,7/1/1999,54
fish-51,7/1/1999,32
fish-52,7/1/1999,44
fish-56,7/1/1999,35
fish-57,7/1/1999,41
fish-63,7/1/1999,50
fish-76,7/1/1999,48
fish-80,7/1/1999,49
fish-81,7/1/1999,52
fish-82,7/1/1999,56
fish-84,7/1/1999,51
fish-91,7/1/1999,34
fish-92,7/1/1999,43
fish-10,7/1/2000,33
fish-12,7/1/2000,53
fish-20,7/1/2000,29
fish-26,7/1/2000,48
fish-29,7/1/2000,52
fish-30,7/1/2000,51
fish-31,7/1/2000,45
fish-32,7/1/2000,52
fish-51,7/1/2000,38
fish-52,7/1/2000,38
fish-56,7/1/2000,27
fish-57,7/1/2000,37
fish-63,7/1/2000,48
fish-76,7/1/2000,48
fish-80,7/1/2000,49
fish-81,7/1/2000,46
fish-82,7/1/2000,51
fish-84,7/1/2000,50
fish-91,7/1/2000,37
fish-92,7/1/2000,29
fish-13,7/1/2001,47
fish-16,7/1/2001,44
fish-27,7/1/2001,43
fish-28,7/1/2001,49
fish-34,7/1/2001,51
fish-38,7/1/2001,48
fish-47,7/1/2001,19
fish-49,7/1/2001,23
fish-51,7/1/2001,33
fish-52,7/1/2001,42
fish-55,7/1/2001,38
fish-58,7/1/2001,33
fish-6,7/1/2001,13
fish-64,7/1/2001,43
fish-65,7/1/2001,50
fish-67,7/1/2001,45
fish-69,7/1/2001,51
fish-71,7/1/2001,51
fish-73,7/1/2001,44
fish-75,7/1/2001,44
fish-77,7/1/2001,51
fish-8,7/1/2001,12
fish-83,7/1/2001,47
fish-84,7/1/2001,52
fish-90,7/1/2001,31
fish-91,7/1/2001,36
fish-92,7/1/2001,28
fish-13,7/1/2002,51
fish-16,7/1/2002,47
fish-27,7/1/2002,42
fish-28,7/1/2002,50
fish-34,7/1/2002,50
fish-38,7/1/2002,48
fish-45,7/1/2002,26
fish-47,7/1/2002,23
fish-49,7/1/2002,34
fish-50,7/1/2002,15
fish-53,7/1/2002,44
fish-54,7/1/2002,52
fish-55,7/1/2002,48
fish-58,7/1/2002,41
fish-64,7/1/2002,45
fish-65,7/1/2002,51
fish-67,7/1/2002,41
fish-69,7/1/2002,50
fish-71,7/1/2002,50
fish-73,7/1/2002,51
fish-75,7/1/2002,50
fish-77,7/1/2002,54
fish-8,7/1/2002,6
fish-83,7/1/2002,50
fish-90,7/1/2002,36
fish-91,7/1/2002,37
fish-92,7/1/2002,38
fish-13,7/1/2003,53
fish-16,7/1/2003,52
fish-27,7/1/2003,45
fish-28,7/1/2003,51
fish-34,7/1/2003,54
fish-38,7/1/2003,46
