siteId,date,invertMacro,invertNarrative,invertMichigan,invertIndiana
invert-1,6/1/1990,-1,Acceptable,-1,NA
invert-10,6/1/2000,-1,Acceptable,-1,NA
invert-100,6/1/1990,-4,Acceptable,-4,NA
invert-101,6/1/2016,-2,Acceptable,-2,NA
invert-102,6/1/1991,-3,Acceptable,-3,NA
invert-102,6/1/1996,-7,Poor,-7,NA
invert-102,6/1/2001,-1,Acceptable,-1,NA
invert-102,6/1/2016,-3,Acceptable,-3,NA
invert-103,6/1/2006,-6,Poor,-6,NA
invert-103,6/1/2011,-4,Acceptable,-4,NA
invert-103,6/1/2016,-4,Acceptable,-4,NA
invert-104,6/1/1991,1,Acceptable,1,NA
invert-105,6/1/1991,5,Excellent,5,NA
invert-106,6/1/1996,4,Acceptable,4,NA
invert-106,6/1/2001,6,Excellent,6,NA
invert-107,6/1/1996,4,Acceptable,4,NA
invert-107,6/1/2001,6,Excellent,6,NA
invert-107,6/1/2006,5,Excellent,5,NA
invert-108,6/1/2006,-1,Acceptable,-1,NA
invert-109,6/1/2006,1,Acceptable,1,NA
invert-11,6/1/2008,4,Acceptable,4,NA
invert-110,6/1/1991,-2,Acceptable,-2,NA
invert-111,6/1/1991,-4,Acceptable,-4,NA
invert-111,6/1/1996,-5,Poor,-5,NA
invert-112,6/1/1991,0,Acceptable,0,NA
invert-113,6/1/1991,-5,Poor,-5,NA
invert-113,6/1/1996,0,Acceptable,0,NA
invert-113,6/1/2001,0,Acceptable,0,NA
invert-113,6/1/2006,-3,Acceptable,-3,NA
invert-114,6/1/1996,-2,Acceptable,-2,NA
invert-114,6/1/2011,0,Acceptable,0,NA
invert-115,6/1/2006,-2,Acceptable,-2,NA
invert-116,6/1/2001,1,Acceptable,1,NA
invert-117,6/1/2008,42,Very_Good,NA,42
invert-117,6/1/2011,50,Exceptional,NA,50
invert-117,6/1/2014,40,Good,NA,40
invert-117,6/1/2020,,Poor,,
invert-118,6/1/2009,54,Exceptional,NA,54
invert-118,6/1/2012,42,Very_Good,NA,42
invert-118,6/1/2015,44,Very_Good,NA,44
invert-118,6/1/2018,38,Good,NA,38
invert-118,6/1/2018,38,,,38
invert-118,6/1/2021,46,Exceptional,NA,46
invert-118,6/1/2021,46,Exceptional,,46
invert-119,6/1/2015,42,Very_Good,NA,42
invert-119,6/1/2018,54,Exceptional,NA,54
invert-119,6/1/2018,54,,,54
invert-119,6/1/2021,44,Very_Good,NA,44
invert-119,6/1/2021,44,Very_Good,,44
invert-12,6/1/2010,0,Acceptable,0,NA
invert-120,6/1/2008,42,Very_Good,NA,42
invert-120,6/1/2011,50,Exceptional,NA,50
invert-120,6/1/2014,40,Good,NA,40
invert-120,6/1/2017,48,Exceptional,NA,48
invert-120,6/1/2020,38,Good,NA,38
invert-120,6/1/2020,38,,,38
invert-121,6/1/2004,52,Exceptional,NA,52
invert-121,6/1/2005,46,Exceptional,NA,46
invert-121,6/1/2006,50,Exceptional,NA,50
invert-121,6/1/2007,36,Good,NA,36
invert-121,6/1/2016,50,Exceptional,NA,50
invert-121,6/1/2019,54,Exceptional,NA,54
invert-121,6/1/2019,54,,,54
invert-122,6/1/2004,50,Exceptional,NA,50
invert-122,6/1/2005,44,Very_Good,NA,44
invert-122,6/1/2006,46,Exceptional,NA,46
invert-122,6/1/2010,52,Exceptional,NA,52
invert-122,6/1/2013,54,Exceptional,NA,54
invert-122,6/1/2016,50,Exceptional,NA,50
invert-122,6/1/2019,52,Exceptional,NA,52
invert-122,6/1/2019,52,,,52
invert-123,6/1/2009,52,Exceptional,NA,52
invert-123,6/1/2012,36,Good,NA,36
invert-123,6/1/2015,46,Exceptional,NA,46
invert-123,6/1/2018,44,Very_Good,NA,44
invert-123,6/1/2018,44,,,44
invert-123,6/1/2021,46,Exceptional,NA,46
invert-123,6/1/2021,46,Exceptional,,46
invert-124,6/1/2004,48,Exceptional,NA,48
invert-124,6/1/2005,46,Exceptional,NA,46
invert-124,6/1/2006,54,Exceptional,NA,54
invert-124,6/1/2007,36,Good,NA,36
invert-124,6/1/2008,55,Exceptional,NA,55
invert-124,6/1/2013,54,Exceptional,NA,54
invert-124,6/1/2016,40,Good,NA,40
invert-124,6/1/2019,44,Very_Good,NA,44
invert-124,6/1/2019,44,,,44
invert-125,6/1/2018,,,,
invert-125,6/1/2019,,,,
invert-125,6/1/2020,48,Exceptional,NA,48
invert-125,6/1/2020,,,,
invert-125,6/1/2021,,,,
invert-126,6/1/2017,48,Exceptional,NA,48
invert-126,6/1/2020,52,Exceptional,NA,52
invert-126,6/1/2020,52,,,52
invert-127,6/1/2007,16,Low_Fair,NA,16
invert-127,6/1/2008,25,Fair,NA,25
invert-127,6/1/2009,8,Poor,NA,8
invert-128,6/1/2007,26,Fair,NA,26
invert-128,6/1/2008,28,Fair,NA,28
invert-128,6/1/2009,22,Fair,NA,22
invert-129,6/1/1992,-3,Acceptable,-3,NA
invert-129,6/1/2001,1,Acceptable,1,NA
invert-13,6/1/2008,4,Acceptable,4,NA
invert-13,6/1/2008,5,Excellent,5,NA
invert-13,6/1/2008,5,Excellent,5,NA
invert-13,6/1/2008,6,Excellent,6,NA
invert-13,6/1/2008,6,Excellent,6,NA
invert-13,6/1/2015,5,Excellent,5,NA
invert-130,6/1/1993,1,Acceptable,1,NA
invert-131,6/1/2015,-1,Acceptable,-1,NA
invert-132,6/1/1990,5,Excellent,5,NA
invert-132,6/1/1995,1,Acceptable,1,NA
invert-132,6/1/2000,7,Excellent,7,NA
invert-133,6/1/2005,5,Excellent,5,NA
invert-134,6/1/2015,4,Acceptable,4,NA
