siteId,huc8,huc10,huc12,state,county
ecoli-1,04050001,0405000122,040500012207,18,141
ecoli-10,04050001,0405000122,040500012205,18,141
ecoli-11,04050001,0405000122,040500012207,18,141
ecoli-12,04050001,0405000122,040500012207,18,141
ecoli-2,04050001,0405000122,040500012208,18,141
ecoli-3,04050001,0405000122,040500012207,18,141
ecoli-4,04050001,0405000122,040500012205,18,141
ecoli-5,04050001,0405000122,040500012205,18,141
ecoli-6,04050001,0405000122,040500012208,18,141
ecoli-7,04050001,0405000122,040500012205,18,141
ecoli-8,04050001,0405000122,040500012205,18,141
ecoli-9,04050001,0405000122,040500012205,18,141
elkhart-1,04050001,0405000117,040500011706,18,039
elkhart-10,04050001,0405000118,040500011805,18,039
elkhart-11,04050001,0405000119,040500011904,18,039
elkhart-12,04050001,0405000119,040500011904,18,039
elkhart-14,04050001,0405000119,040500011904,18,039
elkhart-15,04050001,0405000119,040500011903,18,039
elkhart-16,04050001,0405000120,040500012003,18,039
elkhart-17,04050001,0405000120,040500012003,18,039
elkhart-18,04050001,0405000120,040500012003,18,039
elkhart-19,04050001,0405000119,040500011903,18,039
elkhart-2,04050001,0405000114,040500011403,18,039
elkhart-20,04050001,0405000119,040500011903,18,039
elkhart-21,04050001,0405000119,040500011902,18,039
elkhart-22,04050001,0405000119,040500011903,18,039
elkhart-23,04050001,0405000119,040500011903,18,039
elkhart-24,04050001,0405000119,040500011903,18,039
elkhart-25,04050001,0405000120,040500012002,18,039
elkhart-26,04050001,0405000120,040500012002,18,039
elkhart-27,04050001,0405000120,040500012002,18,039
elkhart-28,04050001,0405000120,040500012002,18,039
elkhart-29,04050001,0405000120,040500012002,18,039
elkhart-3,04050001,0405000114,040500011403,18,039
elkhart-30,04050001,0405000120,040500012003,18,039
elkhart-31,04050001,0405000119,040500011902,18,039
elkhart-32,04050001,0405000119,040500011901,18,039
elkhart-33,04050001,0405000119,040500011902,18,039
elkhart-34,04050001,0405000119,040500011902,18,039
elkhart-35,04050001,0405000119,040500011903,18,039
elkhart-36,04050001,0405000119,040500011903,18,039
elkhart-37,04050001,0405000120,040500012004,18,039
elkhart-38,04050001,0405000120,040500012004,18,039
elkhart-39,04050001,0405000120,040500012004,18,039
elkhart-4,04050001,0405000122,040500012201,18,039
elkhart-40,04050001,0405000118,040500011804,18,039
elkhart-41,04050001,0405000118,040500011804,18,039
elkhart-42,04050001,0405000122,040500012203,18,141
elkhart-43,04050001,0405000120,040500012001,18,039
elkhart-44,04050001,0405000120,040500012004,18,039
elkhart-45,04050001,0405000120,040500012004,18,039
elkhart-46,04050001,0405000122,040500012202,18,039
elkhart-47,04050001,0405000117,040500011709,18,039
elkhart-48,04050001,0405000117,040500011709,18,039
elkhart-49,04050001,0405000117,040500011708,18,039
elkhart-5,04050001,0405000117,040500011708,18,039
elkhart-50,04050001,0405000117,040500011708,18,039
elkhart-52,04050001,0405000117,040500011708,18,039
elkhart-53,04050001,0405000119,040500011903,18,039
elkhart-54,04050001,0405000119,040500011903,18,039
elkhart-55,04050001,0405000119,040500011903,18,039
elkhart-56,04050001,0405000119,040500011903,18,039
elkhart-57,04050001,0405000119,040500011903,18,039
elkhart-58,04050001,0405000117,040500011709,18,039
elkhart-59,04050001,0405000117,040500011708,18,039
elkhart-6,04050001,0405000117,040500011708,18,039
