siteId,name,current,lat,lon
ecoli-1,ANGELA,yes,41.693199,-86.263052
ecoli-10,LOGAN,yes,41.660561,-86.196729
ecoli-11,MICHIGAN,yes,41.688162,-86.250467
ecoli-12,SBWWTP Final,yes,41.71715,-86.268299
ecoli-2,AUTEN,yes,41.744492,-86.272812
ecoli-3,CLEVELAND,yes,41.723416,-86.267442
ecoli-4,COLFAX,yes,41.677678,-86.248181
ecoli-5,COLFAX - LASALLE,yes,41.678428,-86.248947
ecoli-6,DARDEN / AUTEN,yes,41.735905,-86.27374
ecoli-7,EAST RACE,yes,41.681224,-86.247086
ecoli-8,JEFFERSON,yes,41.675302,-86.245296
ecoli-9,LaSalle EAST RACE,yes,41.678936,-86.249141
elkhart-1,Berlin Ct. Ditch - CR 15,,41.43577029,-85.90530355
elkhart-10,Elkhart River - Bainertown,,41.51733894,-85.81657959
elkhart-11,Elkhart River - Indiana Ave. (Goshen),,41.59332907,-85.84860183
elkhart-12,Elkhart River - Jackson Blvd.,,41.68791044,-85.97220643
elkhart-14,Elkhart River - Old CR 17,,41.62461007,-85.89302793
elkhart-15,Fulmer Ditch - CR 28,,41.60878728,-85.95484906
elkhart-16,Heaton Lake - 22892 Lake Shore,,41.73634667,-85.90741071
elkhart-17,Heaton Lake - 22880 Lake Shore,,41.73622028,-85.90704879
elkhart-18,Heaton Lake - Ideal Beach,,41.73230769,-85.90578348
elkhart-19,Hoke Ditch - CR 11,,41.60584227,-85.94512379
elkhart-2,Christiana Creek - Bristol St.,,41.7026822,-85.9800724
elkhart-20,Hoke Ditch - CR 9,,41.60155271,-85.96433098
elkhart-21,Horn Ditch - CR 31,,41.54828091,-85.77057592
elkhart-22,Little Yellow Creek - CR 13,,41.58850208,-85.92529206
elkhart-23,New Miller Stutsman - CR 28,,41.60875209,-85.89852892
elkhart-24,Owl Creek - CR 11,,41.58964181,-85.9447811
elkhart-25,Pine Creek - CR 17,,41.68979725,-85.888301
elkhart-26,Pine Creek - CR 18,,41.65979218,-85.87330678
elkhart-27,Pine Creek - CR 23,,41.64553155,-85.83446023
elkhart-28,Pine Creek - CR 27,,41.63810091,-85.80627661
elkhart-29,Pine Creek - Wyland & Roske Dr.,,41.69182226,-85.89631629
elkhart-3,Christiana Creek - CR 4,,41.73892265,-85.98685516
elkhart-30,Puterbaugh Creek - Reedy Dr.,,41.72729315,-85.93370394
elkhart-31,Rock Run Creek - CR 21,,41.5983478,-85.84845655
elkhart-32,Rock Run Creek - CR 35 & CR 30,,41.59622041,-85.73356138
elkhart-33,Rock Run Creek - CR 34,,41.58091635,-85.78402013
elkhart-34,Rock Run Creek - E. Monroe St.,,41.58077485,-85.8124573
elkhart-35,Shaffer Ditch - CR 28,,41.60882164,-85.91404859
elkhart-36,Shaffer Ditch - CR 113,,41.62326604,-85.91651103
elkhart-37,Simonton Lake - 25919 Lake Dr.,,41.74720271,-85.96515509
elkhart-38,Simonton Lake - 51093 Beach Dr.,,41.75206227,-85.94684998
elkhart-39,Simonton Lake - 51330 SR 19,,41.74778211,-85.97470406
elkhart-4,Cobus Creek - CR 10,,41.73515791,-86.05782741
elkhart-40,Solomon Creek - CR 33,,41.4905537,-85.75178417
elkhart-41,Solomon Creek - CR 52,,41.45865327,-85.72087975
elkhart-42,St. Joseph River - Ash Road,,41.67996741,-86.06157242
elkhart-43,St. Joseph River - Bristol Boat Launch,,41.72307743,-85.8146961
elkhart-44,St. Joseph River - CR 17,,41.70663253,-85.88876104
elkhart-45,St. Joseph River - Johnson St.,,41.69314749,-85.966169
elkhart-46,St. Joseph River - Main St.,,41.69224117,-85.97618782
elkhart-47,Swoveland Ditch - CR 15,,41.52739924,-85.90519338
elkhart-48,Swoveland Ditch - CR 19,,41.51870488,-85.86707446
elkhart-49,Turkey Creek - CR 17,,41.43870988,-85.88580498
elkhart-5,Dausman Ditch - CR 15,,41.49284911,-85.90523473
elkhart-50,Turkey Creek - CR 50,,41.47129141,-85.84150488
elkhart-52,Weaver Ditch - CR 44,,41.50830619,-85.92014747
elkhart-53,Yellow Creek - CR 11,,41.52927477,-85.94373871
elkhart-54,Yellow Creek - CR 138,,41.54381009,-85.9528395
elkhart-55,Yellow Creek - CR 18,,41.65954283,-85.93244146
elkhart-56,Yellow Creek - CR 32,,41.5801399,-85.92916122
elkhart-57,Yellow Creek - Concord High Bridge,,41.63643638,-85.92641368
elkhart-58,Swoveland Ditch - CR 21,,41.51906667,-85.85234487
elkhart-59,Ramer Mutual Drain - CR 142,,41.51576835,-85.92216152
elkhart-6,Dausman Ditch - CR 19,,41.48715856,-85.86667444
elkhart-60,St. Joseph River - Nibbyville,,41.708588,-85.86393563
elkhart-61,Weaver Ditch - CR 13,,41.51355601,-85.92134752
elkhart-62,Baugo Creek - CR 3,,41.63291254,-86.02518607
elkhart-63,Elkhart River - CR 127,,41.50010731,-85.78920806
elkhart-64,Turkey Creek - CR 46,,41.50032676,-85.84264496
elkhart-65,Little Elkhart River - CR 35,,41.70999946,-85.72704154
elkhart-7,Elkhart River - CR 18,,41.65966918,-85.91629468
elkhart-8,Elkhart River - CR 40,,41.54293366,-85.8357933
elkhart-9,Elkhart River - CR 43,,41.50543856,-85.67344465
elkhart-66,Haverstick Darkwood Ditch - CR 7,,41.46647,-85.982386
