siteId,name,lat,lon
usgs-04096405,ST. JOSEPH RIVER AT BURLINGTON,42.1031014,-85.0799764
usgs-04096515,SOUTH BRANCH HOG CREEK NEAR ALLEN,41.94865859,-84.8277403
usgs-04097500,ST. JOSEPH RIVER AT THREE RIVERS,41.94032575,-85.6327707
usgs-040975299,PRAIRIE RIVER AT US 12 NEAR BURR OAK,41.83638889,-85.2708333
usgs-04097540,PRAIRIE RIVER NEAR NOTTAWA,41.88838304,-85.409428
usgs-04099000,ST. JOSEPH RIVER AT MOTTVILLE,41.80088279,-85.7561047
usgs-04099750,PIGEON RIVER NEAR SCOTT,41.7489396,-85.5763747
usgs-04100500,ELKHART RIVER AT GOSHEN,41.5933827,-85.8486057
usgs-04101000,ST. JOSEPH RIVER AT ELKHART,41.6917158,-85.9750004
usgs-04101500,ST. JOSEPH RIVER AT NILES,41.8292138,-86.2597325
usgs-04101535,DOWAGIAC RIVER AT STATE HWY 51 NEAR DOWAGIAC,42.02777778,-86.1075
usgs-04101800,DOWAGIAC RIVER AT SUMNERVILLE,41.9133797,-86.2130676
usgs-04102500,PAW PAW RIVER AT RIVERSIDE,42.18642675,-86.3689124
