siteId,date,ecoli,do,doContactTank,doOutfall,tss,temp
ecoli-1,1/11/1995,130,27.1,NA,NA,4,0
ecoli-2,1/11/1995,618,26.85,NA,NA,2,1.111111111
ecoli-7,1/11/1995,96,25.85,NA,NA,2,0
ecoli-1,2/15/1995,106,38.45,NA,NA,4,0
ecoli-2,2/15/1995,635,23.35,NA,NA,4,0
ecoli-7,2/15/1995,48,33.55,NA,NA,6,0
ecoli-1,3/15/1995,60,14.05,NA,NA,17,10
ecoli-2,3/15/1995,570,15.85,NA,NA,18,10
ecoli-7,3/15/1995,70,13.8,NA,NA,20,10
ecoli-1,4/19/1995,360,11.45,NA,NA,14,12.22222222
ecoli-2,4/19/1995,560,12.25,NA,NA,14,12.22222222
ecoli-7,4/19/1995,260,11.9,NA,NA,13,12.22222222
ecoli-1,5/11/1995,358,12.35,NA,NA,13,14.44444444
ecoli-2,5/11/1995,668,14.25,NA,NA,12,15
ecoli-7,5/11/1995,202,11.45,NA,NA,12,14.44444444
ecoli-1,6/7/1995,94,7.75,NA,NA,13,22.22222222
ecoli-2,6/7/1995,116,7.75,NA,NA,13,22.22222222
ecoli-7,6/7/1995,76,7.7,NA,NA,12,22.22222222
ecoli-1,7/31/1995,428,7.2,NA,NA,12,27.77777778
ecoli-2,7/31/1995,552,6.35,NA,NA,12,27.22222222
ecoli-7,7/31/1995,138,7.3,NA,NA,10,27.77777778
ecoli-1,8/16/1995,1160,6.4,NA,NA,16,27.77777778
ecoli-2,8/16/1995,2550,5.95,NA,NA,14,27.77777778
ecoli-7,8/16/1995,738,6.3,NA,NA,12,28.33333333
ecoli-1,9/13/1995,94,7.9,NA,NA,6,19.44444444
ecoli-2,9/13/1995,242,7.05,NA,NA,5,19.44444444
ecoli-7,9/13/1995,78,7.05,NA,NA,5,19.44444444
ecoli-1,10/11/1995,68,8.9,NA,NA,4,13.88888889
ecoli-2,10/11/1995,112,10.15,NA,NA,4,13.88888889
ecoli-7,10/11/1995,24,8.5,NA,NA,4,14.44444444
ecoli-1,11/1/1995,190,10.2,NA,NA,6,10
ecoli-2,11/1/1995,1300,9.55,NA,NA,6,10
ecoli-7,11/1/1995,90,9.9,NA,NA,4,10
ecoli-1,12/13/1995,8660,13.6,NA,NA,4,0
ecoli-2,12/13/1995,9280,12.95,NA,NA,4,0
ecoli-7,12/13/1995,9160,13.2,NA,NA,4,0
ecoli-1,1/24/1996,920,8.14,NA,NA,5,0
ecoli-2,1/24/1996,1180,8.13,NA,NA,5,0
ecoli-7,1/24/1996,792,8.14,NA,NA,4,0
ecoli-1,2/8/1996,435,13.1,NA,NA,5,0
ecoli-2,2/8/1996,2080,12.75,NA,NA,4,0
ecoli-7,2/8/1996,160,12.66,NA,NA,4,0
ecoli-1,3/6/1996,1050,13.3,NA,NA,4,0
ecoli-2,3/6/1996,1120,13.03,NA,NA,4,0
ecoli-7,3/6/1996,925,13.5,NA,NA,6,0
ecoli-1,4/15/1996,19000,9.95,NA,NA,22,10
ecoli-2,4/15/1996,455,9.35,NA,NA,12,10
