siteId,date,rain,wetWeatherOrBaseflow,wetWeatherOrBaseflowRecoded,ph,temp,do,bod,bodPercent,chlorides,spc,tds,ecoli,nitrates,phosphorus,turbidity,tss,flow
sjrbc-1,2014-04-23,Y,1,WW,7.6,8.9,9.14,0.7,8.6,16.7,564,288,0,4.8,0.35,3,31,1.755
sjrbc-1,2014-05-29,Y,1,WW,7.3,16.2,7.74,1.5,18.73,14.9,610,311,2400,10.1,0.62,70,99,4.577
sjrbc-1,2014-06-27,Y,1,WW,7.67,18.3,7.48,0,0,17.9,715,365,600,3.2,0.46,51,58,2.565
sjrbc-1,2014-07-29,N,0,BF,8.08,16.9,11.48,6.4,56.1,8.2,692,353,200,1,0.72,73,92,0.406
sjrbc-1,2014-08-27,Y,0,BF,8.02,21.2,4.78,1.4,28.87,19.7,711,363,0,0.8,0.42,68,72,0.117
sjrbc-1,2014-09-25,N,0,BF,8.1,13.3,6.49,0.4,18.03,11.3,745,380,500,2.5,0.59,32,98,0.108
sjrbc-1,2014-10-29,N,0,BF,8.16,10.1,7.8,1.3,16.15,9.2,721,368,100,1.2,0.09,21,45,0.115
sjrbc-1,2014-11-24,Y,1,WW,7.64,9,8.53,5.4,62.95,27.8,477,243,400,9.7,1.65,63,189,12.167
sjrbc-1,2014-12-30,N,0,BF,8.13,1.6,11.33,1.2,10.86,12.5,893,491,100,4.1,0.07,4,13,2.971
sjrbc-1,2015-01-28,N,0,BF,8.01,1.1,11.34,1.3,11.46,14.3,545,300,50,2.1,0.07,2,7,1.954
sjrbc-1,2015-02-27,N,0,BF,7.87,0.8,11.56,0.5,4.33,9.5,542,298,50,1.2,0.07,1,4,1.105
sjrbc-1,2015-03-25,Y,0,BF,7.89,5.5,10.07,0.7,6.95,16.3,562,309,200,2.8,0.24,3,5,2.481
sjrbc-2,2014-04-23,Y,1,WW,7.74,10.6,9.53,2.3,24.13,18.2,592,302,100,5.3,0.29,2,18,18.365
sjrbc-2,2014-05-29,Y,1,WW,7.89,21.2,7.98,3.1,38.85,11,553,282,8100,4.6,0.39,33,43,39.62
sjrbc-2,2014-06-27,Y,1,WW,7.92,22.2,7.31,2,27.91,6.5,538,274,4300,1.9,0.32,36,44,15.017
sjrbc-2,2014-07-29,N,0,BF,8.03,15.3,7.65,1.3,17.39,3.6,763,389,850,0.9,0.59,2,11,0.932
sjrbc-2,2014-08-27,Y,0,BF,7.83,19.4,6.03,0,0,16.5,768,392,0,1.2,0.3,15,12,0.792
sjrbc-2,2014-09-25,N,Road Closed,Road Closed,,,,,,,,,,,,,,
sjrbc-2,2014-10-29,N,0,BF,8.06,9.9,8.08,1.8,22.64,8.3,711,363,200,2.2,0.11,5,4,2.422
sjrbc-2,2014-11-24,Y,1,WW,7.81,8.6,9.41,4.2,44.53,15.2,589,300,250,9.9,0.66,37,59,33.383
sjrbc-2,2014-12-30,N,0,BF,7.83,1.8,11.85,2.5,21.27,5.2,595,327,50,3.5,0.12,2,7,5.302
sjrbc-2,2015-01-28,N,0,BF,7.77,1.3,12.09,0.8,6.62,16.6,583,321,0,1.5,0.09,1,3,3.232
sjrbc-2,2015-02-27,N,0,BF,7.79,0.9,12.21,0.3,2.46,3.2,585,322,50,1.1,0.09,1,2,2.172
sjrbc-2,2015-03-25,Y,0,BF,7.81,6.2,10.29,1.2,11.66,18.7,582,320,350,3.1,0.22,1,2,3.019
sjrbc-3,2014-04-23,Y,1,WW,8.04,10.9,10.19,2.4,24.04,23.8,567,289,0,1.9,0.27,2,10,10.8
sjrbc-3,2014-05-29,Y,1,WW,7.86,18.7,7.66,0.8,10.31,25.9,650,391,100,5.6,0.12,6,12,1.697
sjrbc-3,2014-06-27,Y,1,WW,7.76,23.3,5.78,0.8,13.67,25,630,321,200,0.9,0.27,23,27,0.802
sjrbc-3,2014-07-29,N,0,BF,7.83,16.7,3.94,2.7,69.04,12.5,651,332,400,0.1,0.48,13,15,0.864
sjrbc-3,2014-08-27,Y,No Flow,No Flow,,,,,,,,,,,,,,
sjrbc-3,2014-09-25,N,No Flow,No Flow,,,,,,,,,,,,,,
sjrbc-3,2014-10-29,N,No Flow,No Flow,,,,,,,,,,,,,,
sjrbc-3,2014-11-24,Y,1,WW,7.49,9.8,8.22,7.2,88.08,9,480,245,200,5.8,0.77,23,37,3.078
sjrbc-3,2014-12-30,N,0,BF,7.45,1.1,9.47,1.3,13.72,3.9,473,260,0,1.8,0.17,3,9,1.005
sjrbc-3,2015-01-28,N,0,BF,7.51,1.2,10.52,1,9.51,19.1,579,318,0,1.1,0.11,2,4,0.074
sjrbc-3,2015-02-27,N,0,BF,7.63,1.1,10.78,0.6,5.57,2.7,567,312,0,0.8,0.06,1,2,0.032
sjrbc-3,2015-03-25,Y,0,BF,7.71,6.1,9.58,0.9,9.39,23.2,571,314,100,1.5,0.22,3,4,0.396
sjrbc-4,2014-04-23,Y,1,WW,8.2,10.6,9.4,3.8,40.85,21.3,466,238,100,2.1,0.29,17,28,5.481
sjrbc-4,2014-05-29,Y,1,WW,8.18,18.5,7.18,1.7,24.32,25.5,622,317,0,2.6,0.24,7,14,3.84
sjrbc-4,2014-06-27,Y,1,WW,7.96,22.6,7.34,0,0,17.6,680,340,150,1.1,0.17,5,6,1.62
sjrbc-4,2014-07-29,N,0,BF,7.93,16.1,8.87,1.5,16.8,8.6,855,436,0,0.1,0.21,2,1,0.292
sjrbc-4,2014-08-27,Y,0,BF,7.71,22,7.53,0,0,3.2,723,368,0,1,0.2,3,5,0.011
sjrbc-4,2014-09-25,N,0,BF,7.6,14.8,8.62,0,0,3.2,1074,548,0,0.8,0.11,0,4,0.091
sjrbc-4,2014-10-29,N,0,BF,7.75,9.9,9.12,2.5,27.52,2.4,987,503,150,1.5,0.1,2,3,0.326
sjrbc-4,2014-11-24,Y,1,WW,7.51,9.6,8.28,6.4,77.05,17.8,512,261,100,9.7,0.55,24,40,4.714
sjrbc-4,2014-12-30,N,0,BF,7.37,1.5,10.36,1.3,13.47,7.1,678,373,0,1.4,0.14,1,3,1.023
sjrbc-4,2015-01-28,N,0,BF,7.6,1.3,11.13,0.7,6.29,16.7,425,234,0,1.1,0.09,1,3,0.073
sjrbc-4,2015-02-27,N,0,BF,7.6,1.1,11.37,0.2,1.76,5.3,425,234,0,0.8,0.08,1,2,0.059
sjrbc-4,2015-03-25,Y,0,BF,7.94,5.9,10.13,1.4,13.82,20.4,487,268,100,1.7,0.25,2,4,0.641
sjrbc-5,2014-04-23,Y,1,WW,7.94,11.1,9.81,2.2,22.43,20.7,815,416,0,2,0.33,0,9,2.869
sjrbc-5,2014-05-29,Y,1,WW,7.91,19.7,6.74,2.4,35.31,26.5,831,424,500,6.2,0.26,9,13,4.536
sjrbc-5,2014-06-27,Y,1,WW,6.79,23.2,7.95,1.8,22.39,25,981,500,200,0.2,0.37,11,19,1.607
sjrbc-5,2014-07-29,N,0,BF,7.96,18.1,9.45,7.3,77.46,11.9,1157,590,0,1.1,0.43,6,16,1.559
sjrbc-5,2014-08-27,Y,0,BF,7.73,23.5,6.82,4.2,61.73,23,1356,692,0,2.1,0.34,13,8,0.557
sjrbc-5,2014-09-25,N,0,BF,7.7,16.7,7.68,0,0,11.6,1290,658,50,3.7,0.28,15,16,0.347
sjrbc-5,2014-10-29,N,0,BF,7.6,10.5,7.29,1.1,14.81,8.5,1078,550,100,2.3,0.21,2,2,0.549
sjrbc-5,2014-11-24,Y,1,WW,7.4,8.4,9.12,5.6,61.51,20.6,858,438,100,4.3,0.49,45,61,8.235
sjrbc-5,2014-12-30,N,0,BF,7.87,1.7,10.83,1.1,10.16,9.7,482,265,0,1.1,0.15,1,3,2.719
sjrbc-5,2015-01-28,N,0,BF,7.83,1.1,11.56,1.1,9.52,16.3,715,393,0,0.8,0.08,1,3,1.779
sjrbc-5,2015-02-27,N,0,BF,7.77,1.1,11.82,0.5,4.23,7.1,707,389,0,0.6,0.04,1,2,1.247
sjrbc-5,2015-03-25,Y,0,BF,7.88,5.9,10.05,1.7,16.92,20.1,759,417,100,1.5,0.27,3,5,2.563
sjrbc-6,2014-04-23,Y,1,WW,7.96,9.9,9.78,1,10.22,14.6,570,291,0,2.4,0.26,7,7,1.928
sjrbc-6,2014-05-29,Y,1,WW,8.04,18.6,7.79,0.9,11.81,12.7,583,297,300,5.8,0.29,11,15,1.706
sjrbc-6,2014-06-27,Y,1,WW,7.9,20.4,7.72,0,0,13.9,510,260,450,3.6,0.66,28,28,4.165
sjrbc-6,2014-07-29,N,0,BF,8.16,15.6,8.05,1.2,14.91,6.7,660,337,0,1.3,0.2,5,4,0.395
sjrbc-6,2014-08-27,Y,0,BF,8.13,20.7,6.25,0,0,8.5,658,336,0,0.7,0.51,4,4,0.024
sjrbc-6,2014-09-25,N,0,BF,8.17,13.7,8.91,0,0,4.7,660,337,0,1.5,0.08,2,6,0.037
sjrbc-6,2014-10-29,N,0,BF,8.14,9.5,9.56,1.9,19.87,3.2,645,329,100,1.4,0.08,2,3,0.277
sjrbc-6,2014-11-24,Y,1,WW,7.69,9.8,8.52,4.2,48.94,16.3,340,173,0,1.8,0.91,57,79,25.175
sjrbc-6,2014-12-30,N,0,BF,7.78,1.4,11.34,1.4,12.35,6.4,434,239,0,1.2,0.15,2,5,5.378
sjrbc-6,2015-01-28,N,0,BF,7.92,1.2,11.39,0.5,4.39,11.8,589,324,0,0.8,0.11,1,3,3.348
sjrbc-6,2015-02-27,N,0,BF,7.93,1,11.59,0.1,0.09,4.6,593,326,0,0.5,0.06,1,2,2.458
sjrbc-6,2015-03-25,Y,0,BF,7.97,6.1,10.21,1.4,13.71,14.2,554,304,200,1.8,0.26,1,3,4.254
sjrbc-7,2014-04-23,Y,1,WW,7.56,10.5,9.19,1.02,11.1,13.3,582,297,0,3.2,0.68,0,4,4.095
sjrbc-7,2014-05-29,Y,1,WW,7.56,19,6.2,2.1,33.39,26.3,432,220,8400,5.4,0.86,45,46,32.076
sjrbc-7,2014-06-27,Y,1,WW,8.09,19.5,7.41,0,0,8.8,645,329,350,7.2,0.26,11,15,2.835
