siteId,date,ph,spc,do,doPerc,chlorides,chlorophyll,turbidity,temp,ecoli,phosphorus,nitrates,tss
steuben-1,6/6/2023,7.95,805,3.91,39.3,,,,16.8,>2419.6,0.053,0.669,7.3
steuben-1,6/13/2023,8.06,822,7.58,72.5,,,,13.3,260.3,0.102,0.993,4.7
steuben-1,6/20/2023,7.84,800,5.64,60.2,,,,18.5,524.7,0.068,0.337,4.7
steuben-1,6/28/2023,8,801,6.95,71.4,,,,16.7,547.5,0.063,2.19,7.9
steuben-1,7/6/2023,7.95,813,4.38,49.3,,,,21.1,517.2,0.189,0.509,73.6
steuben-1,7/12/2023,7.94,822,4.22,46.4,,,,20.4,396.8,0.106,0.268,7.8
steuben-1,7/18/2023,7.8,817,5.88,61.9,,,,17.7,816.4,0.077,0.596,11
steuben-1,7/25/2023,7.69,815,7.02,78.9,,,,21,165.7,0.08,0.237,15.4
steuben-1,8/1/2023,7.56,787,7.23,77,,,,18.5,344.8,0.093,1.25,16.1
steuben-1,8/10/2023,7.81,726.6,5.85,65.8,38.96,4.4,13.2,19.2,648.8,0.094,0.338,
steuben-1,8/15/2023,7.79,0,5.28,58.2,53.77,6.26,33.2,18.24,1046.2,0.087,0.289,6.8
steuben-1,8/23/2023,7.76,742.1,5.75,64,50.31,6.04,69.6,19.09,816.4,0.091,0.275,
steuben-1,8/30/2023,7.8,540.6,6.01,63.6,32.5,11.75,70.7,16.51,980.4,0.162,0.979,26.8
steuben-1,9/6/2023,7.69,752.3,3.91,44.8,47.65,6.59,85.9,20.36,816.4,0.098,0.305,4.8
steuben-1,9/13/2023,7.62,726.9,6.23,63.3,63.55,8.62,105.4,14.9,461.1,0.108,0.606,32.27
steuben-1,9/21/2023,7.82,742.3,7.82,83.9,53.14,6.49,74.9,17.63,1533.1,0.088,0.239,11.8
steuben-1,9/27/2023,7.67,721.3,4.06,43,55.88,9.53,137.1,16.47,2419.6,0.321,0.288,64.9
steuben-1,10/5/2023,7.74,752.7,5.08,54.1,58.36,31.24,41.6,16.85,920.8,0.126,0.313,56.6
steuben-1,10/10/2023,7.85,771.3,8.55,79.7,90.3,9.92,1076.4,10.53,488.4,0.13,<0.2000,3.5
steuben-10,6/5/2023,8.06,786,9.48,99.8,,,,20.4,67,0.044,1.23,1.3
steuben-10,6/12/2023,8.12,838,6.75,68.8,,,,16.2,172.5,<0.022,1.25,2.6
steuben-10,6/19/2023,7.99,808,7.27,77.4,,,,18.5,193.5,0.024,1.01,1.4
steuben-10,6/27/2023,7.93,788,5.37,56.6,,,,18,186.4,0.07,0.982,1.4
steuben-10,7/5/2023,7.96,780,5.95,67.4,,,,21.4,156.5,0.036,0.86,2.2
steuben-10,7/10/2023,8.2,800,6.5,70.2,,,,19.3,145,0.024,0.774,1.7
steuben-10,7/17/2023,7.64,786,6.67,73.6,,,,19.9,261.3,0.141,0.903,18.4
steuben-10,7/25/2023,7.56,789,5.83,64,,,,20,131.4,0.03,0.941,1.4
steuben-10,7/31/2023,7.51,753,6.08,66.9,,,,20,156.6,0.042,0.782,2.8
steuben-10,8/8/2023,7.73,656.3,5.68,64.3,4.77,47.36,26.3,19.72,46.7,0.036,0.791,
steuben-10,8/14/2023,7.74,688.9,5.65,65.1,53.17,2.96,2.5,20.67,172.2,0.034,0.834,2.1
