siteId,date,wet,temp,do,spc,ph,nitrates,phosphorus,chlorides,tss,ecoli
elkhart-1,5/10/2018,1,14.2,4.39,367.5,7.18,5.35,0.787,147.25,2536,25000
elkhart-1,5/17/2018,0,16.7,5.51,334.8,7.3,2.33,0.624,52.96,NA,270
elkhart-1,5/7/2019,0,13.6,6.96,462.1,7.53,5.08,0.455,48.88,NA,NA
elkhart-1,5/14/2019,0,9.1,10,424.6,7.37,4.88,0.527,53.2,4,550
elkhart-1,5/21/2019,1,10.6,9.44,491.3,7.42,6.26,0.512,77.39,5,430
elkhart-1,5/28/2019,1,17,8.77,341.5,7.31,3.42,1.26,39.93,56,8200
elkhart-1,6/4/2019,0,15.1,7.3,571,7.48,2.73,1.56,318.52,15,350
elkhart-1,6/11/2019,1,14.7,10.5,818,7.51,4.12,0.571,243.51,8,1950
elkhart-1,6/18/2019,0,17.2,5.29,581,7.44,8.66,1.33,200.63,24.3,2400
elkhart-1,6/25/2019,0,17.9,4.97,538,7.52,5.2,0.418,203.99,18.5,1120
elkhart-1,7/2/2019,0,22.2,3.82,807,7.67,5.63,0.57,378.14,10.5,650
elkhart-1,7/9/2019,0,19.6,4.63,610,7.75,6.34,0.522,277.05,7.17,410
elkhart-1,7/16/2019,0,21.7,2.44,811,7.49,5.37,0.591,410.29,21.5,144
elkhart-1,7/23/2019,0,17.6,4.16,762,7.77,3.92,0.868,298.86,4.38,219
elkhart-1,7/30/2019,1,20.4,4.81,997,7.95,10.8,0.754,983.2,5.5,176
elkhart-1,8/6/2019,1,21.2,2.74,976,7.98,6.64,0.678,788.87,4.63,94
elkhart-1,8/15/2019,1,19.9,2.48,591,8.11,3.1,1.03,608.66,49.5,170
elkhart-1,8/20/2019,0,22.8,2.47,124.1,7.75,NA,NA,469.87,1.88,64
elkhart-1,8/27/2019,1,20.1,4.96,716,8.18,8.69,0.767,716.67,2.88,840
elkhart-1,9/3/2019,0,18.1,3.27,1344,8.09,11,1.06,1093.38,39.5,113
elkhart-1,9/10/2019,0,17.9,3.84,1174,7.89,17.2,0.826,1146.98,4.63,48
elkhart-1,9/17/2019,0,17.6,3.19,545,8.25,4.02,0.799,232.66,6,46
elkhart-1,9/24/2019,0,15,4.65,927,8.28,15.3,0.683,NA,101.5,100
elkhart-1,5/14/2020,1,12.2,6.54,582,9.65,10.9,0.214,248.2,NA,NA
elkhart-1,5/21/2020,0,12.6,7.4,487.7,6.05,9.24,0.535,117.01,NA,NA
elkhart-1,5/28/2020,1,18.5,5.32,669,8.2,9.14,0.62,223.07,NA,NA
elkhart-1,6/4/2020,0,18.7,6.75,740,11.07,10.4,0.345,310.09,3,300
elkhart-1,6/11/2020,0,17.7,6.4,706,13.35,0.034,0.564,391.2,1,510
elkhart-1,6/18/2020,0,19.2,5.18,668,6.55,11,0.352,378.02,17,89
elkhart-1,7/2/2020,0,18.3,6.16,603,6.91,10.92,0.487,152.48,NA,NA
elkhart-1,7/9/2020,0,22.3,5.23,706,8.93,7.63,0.444,211.97,2,120
elkhart-1,7/16/2020,0,23,3.48,873,8.05,12.1,0.576,328.12,NA,112
